Name,WeightClass_Bin,Avg_Bodyweight,Start_Age,Career_Start_Age,Career_Start_Year_Normalized,Prior_Competition_Count,Career_WeightClass_Change_Count,IPFCategory,Continent,Initial_Speed,Maturation_Slope,Peak_Dots,Days_to_Peak,Peak_Age,Split_Day,Is_Origin_Included,Initial_Phase_Change_Count,Peak_Phase_Change_Count,Continent_Group,IPFCategory_Non-IPF,Continent_Asia_Oceania,Continent_Europe_Africa,Continent_Other
Abbey Moon,52-57,55.47428571428572,71.0,71.0,20.0,0.0,1.0,IPF,North America,9.668902671556609,,241.95,0.0,71.0,600.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Abbey Stronell,63-69,66.70625,19.5,19.5,26.0,0.0,1.0,IPF,Oceania,56.606112187355265,17.74064863947493,434.4446505255212,660.0,21.30821917808219,270.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Abby Hall,57-63,62.443636363636365,20.0,20.0,19.0,0.0,1.0,IPF,North America,30.493853277114816,13.78947468387291,418.8326329891768,1500.0,24.10958904109589,690.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Abi Graham,57-63,62.07741935483871,33.0,33.0,15.0,0.0,1.0,IPF,Europe,31.404597163199416,16.71606818898316,444.4488410136769,2730.0,40.47945205479452,750.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Abigail Velten,69-76,70.97333333333333,20.5,18.5,26.0,5.0,1.0,IPF,North America,32.09708469502243,,328.66,476.0,21.804109589041097,896.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Adele Fothersgill,76-84,80.86666666666666,44.0,43.0,20.0,2.0,1.0,IPF,Europe,49.65078774912883,21.13100731238944,292.9982196608639,626.0,45.71506849315068,446.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adina Hyková,57-63,60.916666666666664,74.5,74.5,22.0,0.0,0.0,IPF,Europe,22.86415859635775,,267.4989777447803,150.0,74.91095890410959,120.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adriana Holubová,57-63,61.712500000000006,19.5,19.5,25.0,0.0,2.0,IPF,Europe,28.13046024936529,18.649723655096,372.9078938108322,660.0,21.30821917808219,120.0,True,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adriana Pence,40-52,51.23181818181818,43.0,43.0,23.0,0.0,1.0,IPF,North America,27.3623541693213,4.775058363037356,444.20075959929125,2100.0,48.75342465753425,960.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Adriane Schwab,63-69,67.70714285714287,52.5,52.5,27.0,0.0,0.0,IPF,South America,92.70198286022291,60.360724221774774,286.4201891012381,570.0,54.06164383561644,420.0,False,0,0,Americas,0.0,0.0,0.0,0.0
