Name,WeightClass_Bin,Avg_Bodyweight,Start_Age,Career_Start_Age,Career_Start_Year_Normalized,Prior_Competition_Count,Career_WeightClass_Change_Count,IPFCategory,Continent,Initial_Speed,Maturation_Slope,Peak_Dots,Days_to_Peak,Peak_Age,Split_Day,Is_Origin_Included,Initial_Phase_Change_Count,Peak_Phase_Change_Count,Continent_Group,IPFCategory_Non-IPF,Continent_Asia_Oceania,Continent_Europe_Africa,Continent_Other
Aaron Gauntt,83-93,92.61666666666667,26.5,26.5,26.0,0.0,0.0,IPF,North America,19.79233573636173,7.638228444364806,417.4200457611784,1110.0,29.541095890410958,540.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Aaron Grant,105-120,115.41874999999999,21.0,21.0,32.0,0.0,0.0,IPF,Oceania,38.45537687475336,14.597193588373704,422.3305188946513,900.0,23.465753424657535,750.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Aaron Lucius,67.5-75,73.36666666666667,50.5,47.5,29.0,5.0,2.0,IPF,North America,27.448891243847456,7.639710130378127,332.30140144906466,1861.0,55.5986301369863,1291.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Aaron Pickrell,83-93,84.82571428571428,47.0,47.0,26.0,0.0,0.0,Non-IPF,North America,35.04972644068331,11.174872983707715,359.038191005951,1380.0,50.78082191780822,900.0,False,0,0,Americas,1.0,0.0,0.0,0.0
Aaron Ziffle,83-93,92.7,32.5,32.5,24.0,0.0,0.0,IPF,North America,42.03211323463099,14.96941936763202,432.6363750011552,600.0,34.14383561643836,390.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Abbas Pordel,105-120,117.70555555555555,59.0,59.0,30.0,0.0,0.0,IPF,Oceania,10.545261349989733,4.1189140772580775,339.6384719289473,600.0,60.64383561643836,420.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Abdellah Mebrache,75-83,79.85,40.0,40.0,27.0,0.0,0.0,IPF,Europe,169.98877777777813,42.16807371843742,373.74689480178654,210.0,40.57534246575342,30.0,True,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Abdul Majeed Sulayman,93-105,102.0490909090909,20.0,19.0,27.0,1.0,2.0,IPF,Europe,42.788527240276835,14.664419349235567,536.8634192160728,2224.0,26.09315068493151,1924.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Abe Walton,93-105,102.49571428571427,26.5,26.0,27.0,1.0,1.0,IPF,Oceania,3.104591152125575,5.316693600637042,440.3394866122164,1186.0,29.74931506849315,526.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Achim Wendlandt,60-67.5,62.705555555555556,58.0,54.0,24.0,3.0,1.0,IPF,Europe,20.740010882555914,,265.61,1730.0,62.73972602739726,3860.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adalgiso Sicoli,93-105,104.25666666666666,53.5,53.5,24.0,0.0,1.0,IPF,Europe,4.607276797694572,2.702625083344896,402.30003102827004,660.0,55.30821917808219,540.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adam Anderson #1,93-105,103.625,39.3,39.3,28.0,0.0,0.0,IPF,Europe,33.22210123911762,9.980652214980664,325.4439693773444,1380.0,43.080821917808215,570.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adam Berry #1,105-120,117.49375,35.5,35.5,26.0,0.0,1.0,IPF,Europe,34.041326469866505,8.866034301939715,435.4573045410259,2040.0,41.08904109589041,270.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adam Blalock,120-160,126.66999999999999,36.5,36.5,24.0,0.0,1.0,IPF,North America,10.158845065573084,2.7752690335485695,390.9956141053562,2940.0,44.554794520547944,180.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Adam Cornes,75-83,80.36666666666667,24.5,24.5,31.0,0.0,0.0,IPF,Europe,27.167980387534502,,419.4574130361111,780.0,26.636986301369863,720.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adam Delancey,120-160,134.66666666666669,25.5,25.5,25.0,0.0,0.0,IPF,North America,14.659591836734458,3.865406540271034,332.1079155149331,450.0,26.732876712328768,60.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Adam Fulat,83-93,92.49,26.5,26.5,29.0,0.0,1.0,IPF,Europe,13.516745304180494,6.76425720737661,517.1869855032947,1710.0,31.184931506849317,900.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adam Hasty,75-83,80.89666666666666,39.0,39.0,28.0,0.0,0.0,IPF,North America,7.716677295918557,,336.76884495464856,120.0,39.32876712328767,90.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Adam Hašek,75-83,79.225,19.5,19.5,31.0,0.0,0.0,IPF,Europe,46.82551210302917,23.122530490971677,405.57733527716726,960.0,22.13013698630137,630.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Adam Hersperger,75-83,82.5,20.0,17.0,10.0,6.0,2.0,Non-IPF,North America,33.16374318075526,9.758470359842883,417.4290090490499,1587.0,24.34794520547945,1437.0,False,0,0,Americas,1.0,0.0,0.0,0.0
Adam Huard,120-160,133.46777777777777,31.5,30.5,23.0,2.0,1.0,IPF,Oceania,17.92057360002993,2.078475181472817,391.7439710224671,1048.0,34.37123287671233,538.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Adam Hussain,75-83,82.22142857142856,21.0,17.5,29.0,2.0,0.0,IPF,Oceania,47.40701980163067,14.55468909048455,451.18603863440626,1423.0,24.898630136986302,1303.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Adam Johnson,75-83,81.53076923076924,28.0,30.0,19.0,7.0,4.0,IPF,Other/Unknown,6.607634789453007,11.809947817566703,406.82902027065643,5516.0,43.11232876712329,4316.0,False,0,0,Other,0.0,0.0,0.0,1.0
Adam McGugan,83-93,90.61428571428573,31.5,31.5,25.0,0.0,1.0,IPF,North America,24.498544773391217,7.109683979171225,406.0425946433629,1650.0,36.02054794520548,210.0,False,0,0,Americas,0.0,0.0,0.0,0.0
