iteration,cutoff,effect,pvalue,matched_n
0,59.28242553668359,-18.153228379678914,1.2952037378631511e-06,1236
1,56.38753405114278,-14.902498385838642,0.00015891453998756314,1213
2,72.00766318392616,-20.454771568485384,5.764264140150864e-08,1269
3,57.79882477283717,-17.356507187549067,5.465016399668015e-06,1227
4,66.49436468984568,-15.127747074608735,1.6494829185389043e-05,1306
5,69.76088822176257,-18.492574101683413,2.7399852956615677e-07,1328
6,60.97964415295705,-16.021064374868836,9.308571464333973e-06,1287
7,65.48862770220421,-14.710270226315199,2.8684816112173424e-05,1309
8,70.56181762976539,-18.190306772965677,5.182190164111168e-07,1320
9,61.418986415820726,-14.421341838901098,5.514313846305792e-05,1306
10,71.94842448175804,-20.50036049762949,5.1046266484775145e-08,1271
11,56.64898256647648,-16.374534496095645,1.8601690638732605e-05,1221
12,71.05779555669673,-18.840673011622506,2.3111329882547568e-07,1312
13,73.37717053812082,-21.399914420475476,4.137163422155569e-08,1242
14,63.61206179503369,-15.156969663686674,1.8135255247514465e-05,1315
15,56.97330056005253,-17.356507187549067,5.465016399668015e-06,1227
16,64.57677273520538,-15.156969663686674,1.8135255247514465e-05,1315
17,74.54894662821162,-25.123955272515357,8.869958024837709e-10,1178
18,67.6560939166798,-14.487719690997599,4.91616339069235e-05,1322
19,68.35980767141089,-17.3661496181496,1.4338286282279374e-06,1333
20,74.13207601380451,-23.821933164353855,2.4558550050152208e-09,1213
21,60.977580498919565,-16.021064374868836,9.308571464333973e-06,1287
22,74.79716382123873,-25.75981789753376,4.290480290789232e-10,1171
23,63.92555830548671,-15.156969663686674,1.8135255247514465e-05,1315
24,73.37272680633389,-21.399914420475476,4.137163422155569e-08,1242
25,71.36612244626035,-18.42231711919793,5.672702293832316e-07,1312
26,74.7432597455174,-25.75981789753376,4.290480290789232e-10,1171
27,60.33619155841794,-17.031566459024177,3.3924660373312924e-06,1268
28,60.66574632595354,-16.8393905632229,3.941657547686827e-06,1270
29,65.84777400047783,-14.979842445668364,1.9701815970983682e-05,1304
30,62.21765829976307,-14.168078675441492,6.131122418318183e-05,1315
31,74.83620853678238,-26.21540880903363,1.9449934155631526e-10,1171
32,70.86575830335383,-18.640571017998933,2.6589664280097353e-07,1318
33,63.063826063428245,-15.156969663686674,1.8135255247514465e-05,1315
34,73.40448359110181,-21.57427924780484,3.475315120234235e-08,1238
35,72.86987531452495,-21.47338030538672,3.13340687318047e-08,1249
36,73.74972999888078,-20.912427214184405,1.3606614070049778e-07,1225
37,73.09837111933737,-21.79796078507929,2.119181293824269e-08,1244
38,64.4758308972152,-15.156969663686674,1.8135255247514465e-05,1315
39,69.13267625941567,-18.492574101683413,2.7399852956615677e-07,1328
40,63.70318130875749,-15.156969663686674,1.8135255247514465e-05,1315
41,71.88516532997112,-20.74841752943737,3.499655554722215e-08,1269
42,72.067827909352,-20.442188348314478,6.64764375892868e-08,1266
43,71.73696975295361,-21.020233313342008,2.0988300777082183e-08,1277
44,65.22557005633712,-14.416493811643077,4.406169709637042e-05,1311
45,66.76532918805775,-14.087880841028765,7.20395473070568e-05,1324
46,57.979940686799395,-17.356507187549067,5.465016399668015e-06,1227
47,68.80320420786742,-18.492574101683413,2.7399852956615677e-07,1328
48,57.59406531879752,-17.356507187549067,5.465016399668015e-06,1227
49,56.53414381673675,-16.004639582556983,3.5474745165950625e-05,1219
50,70.11686810071288,-18.64900777996214,2.4032699409005817e-07,1326
51,69.81752396554995,-18.492574101683413,2.7399852956615677e-07,1328
52,64.75416050617255,-14.870489985766406,2.6098164405873284e-05,1317
53,74.13381105770503,-23.821933164353855,2.4558550050152208e-09,1213
54,64.77437366312917,-14.870489985766406,2.6098164405873284e-05,1317
55,65.84050648150912,-14.979842445668364,1.9701815970983682e-05,1304
56,57.23884376882745,-17.356507187549067,5.465016399668015e-06,1227
57,59.77239279325936,-17.43423318035563,2.8270366708832318e-06,1241
58,72.74902352040746,-20.36096008022466,8.841193233871569e-08,1256
59,66.3103209518015,-14.519363380237502,3.5225200394513675e-05,1314
60,60.42646910788408,-17.04497615723759,3.6183754117299254e-06,1262
61,57.507281455966464,-17.356507187549067,5.465016399668015e-06,1227
62,68.3503515586256,-17.3661496181496,1.4338286282279374e-06,1333
63,70.79347010691966,-17.96523185317041,6.953905215445979e-07,1322
64,69.85022516841971,-18.492574101683413,2.7399852956615677e-07,1328
65,64.20914727039907,-15.156969663686674,1.8135255247514465e-05,1315
66,64.34582789252475,-15.156969663686674,1.8135255247514465e-05,1315
67,65.26698065702521,-14.257936702366354,5.261695216197482e-05,1311
68,72.21070745864714,-20.374733429747973,7.336836924605262e-08,1261
69,67.13529298979901,-14.535200015785481,4.396974636963442e-05,1316
70,74.34509074706521,-24.015450278268478,2.4800037805317944e-09,1197
71,59.1878815136735,-18.153228379678914,1.2952037378631511e-06,1236
72,60.48137447824426,-16.7562890104365,5.119161178252071e-06,1262
73,73.64445184944695,-21.322490573621774,7.446627167708186e-08,1227
74,68.50751513947037,-17.364887104557088,1.4593332949544372e-06,1331
75,63.227061450588266,-15.156969663686674,1.8135255247514465e-05,1315
76,69.56508822092859,-18.492574101683413,2.7399852956615677e-07,1328
77,61.568921727383916,-14.133035644457307,7.195071872451144e-05,1310
78,58.51398613346138,-17.356507187549067,5.465016399668015e-06,1227
79,74.78608838462165,-25.75981789753376,4.290480290789232e-10,1171
80,63.26769597031985,-15.156969663686674,1.8135255247514465e-05,1315
81,59.519969581393234,-17.71483024653684,2.447703939735999e-06,1234
82,74.37264093393682,-24.31054446274497,1.9842296062328053e-09,1191
83,60.27941187767932,-16.72530853666383,5.322022413448206e-06,1268
84,71.59153932091503,-20.049596426227385,7.237304317129057e-08,1308
85,73.04577471746221,-21.79796078507929,2.119181293824269e-08,1244
86,65.21682099113649,-14.416493811643077,4.406169709637042e-05,1311
87,60.38953268182308,-17.108098988891108,3.364050745824827e-06,1261
88,68.20426254054108,-16.592081825319426,3.9612980175454236e-06,1333
89,57.590288058471536,-17.356507187549067,5.465016399668015e-06,1227
90,64.08098462104105,-15.156969663686674,1.8135255247514465e-05,1315
91,65.91769470213086,-14.910545221258623,2.1067830085531663e-05,1304
92,69.57713469820789,-18.492574101683413,2.7399852956615677e-07,1328
93,74.36266600441692,-24.31054446274497,1.9842296062328053e-09,1191
94,59.02083045756345,-18.544746923680993,8.718583964953416e-07,1235
95,66.49327016062074,-15.026305379109104,1.847049978373857e-05,1308
96,68.5206121431221,-17.364887104557088,1.4593332949544372e-06,1331
97,58.63213939823888,-18.28514761407053,1.6763283307474992e-06,1227
98,59.476899436175714,-17.71483024653684,2.447703939735999e-06,1234
99,57.0411178398956,-17.356507187549067,5.465016399668015e-06,1227
