iteration,cutoff,effect,pvalue,matched_n
0,62.83353702003928,-10.89994099045515,7.789102618594903e-05,1592
1,59.28242553668359,-11.447045537062479,0.00020975466185686127,1232
2,56.38753405114278,-5.697530096026373,0.09960465457957446,1074
3,72.00766318392616,-18.49760401524561,2.6293738633535215e-10,1338
4,57.79882477283717,-8.764258641495301,0.005885065034684977,1170
5,66.49436468984568,-9.600916349257375,0.0004035068134043961,1616
6,69.76088822176257,-14.528382185706164,2.2469321347862684e-07,1540
7,60.97964415295705,-7.923980927738975,0.0077740604108946865,1378
8,65.48862770220421,-10.288594806431433,0.0002011296671640077,1600
9,70.56181762976539,-18.03602344472905,1.039150188630727e-10,1502
10,61.418986415820726,-8.181746887835459,0.0048541906830462415,1424
11,71.94842448175804,-19.85103549346752,1.6945409111078042e-11,1328
12,56.64898256647648,-7.738194662046055,0.016129516383920548,1152
13,71.05779555669673,-16.95116680982221,2.095536126252218e-09,1468
14,73.37717053812082,-21.277206108600335,9.236699505210565e-12,1174
15,63.61206179503369,-10.89994099045515,7.789102618594903e-05,1592
16,56.97330056005253,-9.236631964399615,0.0035023879238931443,1178
17,64.57677273520538,-9.92233943930313,0.00030868435144141047,1588
18,74.54894662821162,-19.95723086917748,2.0504132089091243e-09,1030
19,67.6560939166798,-11.499087517966245,2.1508471270220068e-05,1604
20,68.35980767141089,-13.636605728090103,8.354510270543464e-07,1554
21,74.13207601380451,-20.572894534609077,4.1071202154822896e-10,1072
22,60.977580498919565,-7.923980927738975,0.0077740604108946865,1378
23,74.79716382123873,-20.67878545132925,1.062269318563034e-09,1010
24,63.92555830548671,-10.89994099045515,7.789102618594903e-05,1592
25,73.37272680633389,-21.277206108600335,9.236699505210565e-12,1174
26,71.36612244626035,-15.176623078068097,1.2000776737213013e-07,1434
27,74.7432597455174,-20.67878545132925,1.062269318563034e-09,1010
28,60.33619155841794,-9.41135475220597,0.0019648673731689705,1314
29,60.66574632595354,-8.883923420195828,0.003099475550141389,1326
30,65.84777400047783,-8.692154685024263,0.0015046851346534101,1620
31,62.21765829976307,-7.230842304423493,0.008722301356220477,1566
32,74.83620853678238,-24.584099315509775,5.490675367207942e-13,1008
33,70.86575830335383,-15.609205250278535,3.0815448417779704e-08,1472
34,63.063826063428245,-10.89994099045515,7.789102618594903e-05,1592
35,73.40448359110181,-21.873940478843906,3.363897446530475e-12,1176
36,72.86987531452495,-15.723863488381536,4.0205028435917945e-07,1226
37,73.74972999888078,-18.791415226990953,2.2304248592357955e-09,1130
38,73.09837111933737,-18.215837292950898,6.099750291623137e-09,1202
39,64.4758308972152,-9.92233943930313,0.00030868435144141047,1588
40,69.13267625941567,-14.528382185706164,2.2469321347862684e-07,1540
41,63.70318130875749,-10.89994099045515,7.789102618594903e-05,1592
42,71.88516532997112,-15.136892641657255,2.118739278420583e-07,1348
43,72.067827909352,-17.771482422997735,2.7901866314276512e-09,1332
44,71.73696975295361,-15.62160611958825,1.2528421609251507e-07,1380
45,65.22557005633712,-9.85009190204238,0.0003396349257204541,1592
46,66.76532918805775,-11.552815173008128,2.5066623034468255e-05,1620
47,57.979940686799395,-8.764258641495301,0.005885065034684977,1170
48,68.80320420786742,-14.528382185706164,2.2469321347862684e-07,1540
49,57.59406531879752,-8.764258641495301,0.005885065034684977,1170
50,56.53414381673675,-7.377576158282409,0.024524142751865208,1128
51,70.11686810071288,-15.170848447304365,4.3275251614067897e-08,1536
52,69.81752396554995,-14.528382185706164,2.2469321347862684e-07,1540
53,64.75416050617255,-11.87187003090443,1.9114213238862495e-05,1586
54,74.13381105770503,-20.572894534609077,4.1071202154822896e-10,1072
55,64.77437366312917,-11.87187003090443,1.9114213238862495e-05,1586
56,65.84050648150912,-8.692154685024263,0.0015046851346534101,1620
57,57.23884376882745,-9.236631964399615,0.0035023879238931443,1178
58,59.77239279325936,-9.889240198965751,0.0013536223548731303,1264
59,72.74902352040746,-18.508234426619595,2.481395665088382e-09,1248
60,66.3103209518015,-9.51521764933405,0.0004559067563080101,1638
61,60.42646910788408,-9.879820836065164,0.0010958418118466717,1312
62,57.507281455966464,-9.236631964399615,0.0035023879238931443,1178
63,68.3503515586256,-13.636605728090103,8.354510270543464e-07,1554
64,70.79347010691966,-15.193701026040099,1.2404515861684527e-07,1446
65,69.85022516841971,-14.528382185706164,2.2469321347862684e-07,1540
66,64.20914727039907,-10.89994099045515,7.789102618594903e-05,1592
67,64.34582789252475,-9.92233943930313,0.00030868435144141047,1588
68,65.26698065702521,-9.606675159815893,0.0004592601235884167,1596
69,72.21070745864714,-15.572531787449293,2.0641438320141334e-07,1312
70,67.13529298979901,-10.823917948971982,8.577146769812551e-05,1594
71,74.34509074706521,-21.783376683484164,2.5494668155618904e-11,1048
72,59.1878815136735,-10.47782315463644,0.0006842683016911373,1232
73,60.48137447824426,-9.138133304152518,0.0023942631478036367,1332
74,73.64445184944695,-18.64214186610195,4.571031863592858e-09,1136
75,68.50751513947037,-14.487271817375245,2.3495934329868706e-07,1536
76,63.227061450588266,-10.89994099045515,7.789102618594903e-05,1592
77,69.56508822092859,-14.528382185706164,2.2469321347862684e-07,1540
78,61.568921727383916,-8.522268466674404,0.003309835510458703,1456
79,58.51398613346138,-8.201310395903613,0.00982025706737715,1178
80,74.78608838462165,-20.67878545132925,1.062269318563034e-09,1010
81,63.26769597031985,-10.89994099045515,7.789102618594903e-05,1592
82,59.519969581393234,-9.975022935699883,0.0013357195002555086,1240
83,74.37264093393682,-22.056987829895636,2.926009069248651e-11,1042
84,60.27941187767932,-9.827658116004335,0.001382293283034885,1310
85,71.59153932091503,-18.950193962280537,3.0187209360395755e-11,1404
86,73.04577471746221,-16.82161243649773,7.136593217491178e-08,1200
87,65.21682099113649,-9.85009190204238,0.0003396349257204541,1592
88,60.38953268182308,-9.607605182664964,0.001500602664668553,1314
89,68.20426254054108,-15.463849363395525,2.1626389433907083e-08,1564
90,57.590288058471536,-8.764258641495301,0.005885065034684977,1170
91,64.08098462104105,-10.89994099045515,7.789102618594903e-05,1592
92,65.91769470213086,-9.714893468930333,0.0003351778830748831,1626
93,69.57713469820789,-14.528382185706164,2.2469321347862684e-07,1540
94,74.36266600441692,-22.056987829895636,2.926009069248651e-11,1042
95,59.02083045756345,-10.679635875742008,0.0007251452943021647,1212
96,66.49327016062074,-7.943134608414824,0.0036814573439685875,1602
97,68.5206121431221,-14.487271817375245,2.3495934329868706e-07,1536
98,58.63213939823888,-9.889305324067777,0.0017077359388456101,1184
99,59.476899436175714,-9.975022935699883,0.0013357195002555086,1240
